validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.7565519013360741,0.7811124234940405,0.23146792261840698,0.4509082455396801,0.5294117647058824,2.0566184520721436
real_validation,KNN,0.7728674203494348,0.8093525179856115,0.2202372827519244,0.43850851716571176,0.52,0.12142014503479004
real_validation,LOF,0.7295734840698869,0.7341887683882744,0.1991283410895393,0.34889586406546247,0.6,0.03439188003540039
real_validation,COF,0.600077081192189,0.43047353162246316,0.14406709254169542,0.17465866815340833,0.7931034482758621,0.3831038475036621
real_validation,IForest,0.7912384378211715,0.823472565231397,0.24678310158497138,0.5204279584672847,0.44642857142857145,0.13969135284423828
real_validation,OCSVM,0.8187307297019527,0.839686459787394,0.23301080888545173,0.478209781786661,0.45,0.05006837844848633
real_validation,COPOD,0.8599691675231244,0.8669601632127134,0.4282725044021063,0.6461714869129054,0.36065573770491804,0.1153726577758789
real_validation,PCA,0.8314491264131553,0.8642220551916676,0.2512385387745582,0.5217231348078977,0.4262295081967213,0.006742715835571289
real_validation,HBOS,0.81551901336074,0.8427735423601418,0.31979627897389035,0.5642420041873345,0.39344262295081966,1.4587140083312988
real_validation,MCD,0.7395940390544707,0.771770643186943,0.17134790376999726,0.3654468880784809,0.5853658536585366,0.37960338592529297
real_validation,LODA,0.7180113052415211,0.6680983571351874,0.15417042016198523,0.27200833686697784,0.7446808510638298,0.025943994522094727
real_validation,CBLOF,0.775436793422405,0.7640932030495007,0.2161265472658333,0.41388355110325653,0.5454545454545454,1.0757455825805664
synthetic_local_validation,ABOD,0.9044193216855086,0.7811124234940405,0.5510214855981261,0.4509082455396801,0.5294117647058824,0.8152709007263184
synthetic_local_validation,KNN,0.8868191161356629,0.8093525179856115,0.4308027767752755,0.43850851716571176,0.52,0.12279009819030762
synthetic_local_validation,LOF,0.8860483042137719,0.7341887683882744,0.3711323643716736,0.34889586406546247,0.6,0.03504467010498047
synthetic_local_validation,COF,0.8607399794450155,0.43047353162246316,0.35407017903521426,0.17465866815340833,0.7931034482758621,0.3890087604522705
synthetic_local_validation,IForest,0.875256937307297,0.823472565231397,0.41566183887764807,0.5204279584672847,0.44642857142857145,0.13919496536254883
synthetic_local_validation,OCSVM,0.8579136690647482,0.839686459787394,0.38926718468635496,0.478209781786661,0.45,0.04924750328063965
