validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.7559189012426423,0.7929570938745251,0.6335656385998278,0.8086324334329795,0.19473684210526315,2.4198522567749023
real_validation,KNN,0.7174405929801613,0.7567695301640256,0.5849910981789972,0.7741098063983328,0.20987654320987653,0.28421783447265625
real_validation,LOF,0.7457161543492479,0.7698359744231305,0.5515966223378519,0.7622857939905331,0.2552083333333333,0.1708989143371582
real_validation,COF,0.4741007194244604,0.45072745806690767,0.32332999919760375,0.4731511483825279,0.5943396226415094,0.7338049411773682
real_validation,IForest,0.8098975365162415,0.8529886016124549,0.6295292472372732,0.8109351037527893,0.1717171717171717,0.14748764038085938
real_validation,OCSVM,0.8049923697405711,0.8225465665832637,0.6503523751500621,0.8240846159083007,0.1702127659574468,0.09832978248596191
real_validation,COPOD,0.7636581643775888,0.7343712352886664,0.583911328601436,0.7259236792506044,0.2413793103448276,0.13577866554260254
real_validation,PCA,0.8217571397427512,0.8459178945417477,0.6474876341789495,0.8435988412381606,0.15104166666666666,0.008873701095581055
real_validation,HBOS,0.7078700675822978,0.7440366972477064,0.5293021529943452,0.7331350163690974,0.24427480916030533,1.4359831809997559
real_validation,MCD,0.6374318726836712,0.68873135019924,0.43358601566998906,0.6578755110606314,0.25,0.4395887851715088
real_validation,LODA,0.6662960540658383,0.6712074877212493,0.4488750347876395,0.662051034382767,0.29464285714285715,0.06364560127258301
real_validation,CBLOF,0.681730978853281,0.7100639421740339,0.5294999692088711,0.7469032748831606,0.2054794520547945,1.4932868480682373
synthetic_local_validation,ABOD,0.9919555264879005,0.7929570938745251,0.9823138013531542,0.8086324334329795,0.19473684210526315,1.208885669708252
synthetic_local_validation,KNN,0.9765642031829083,0.7567695301640256,0.9302083961904243,0.7741098063983328,0.20987654320987653,0.28810787200927734
synthetic_local_validation,LOF,0.9829300196206672,0.7698359744231305,0.9586666832896831,0.7622857939905331,0.2552083333333333,0.16758418083190918
synthetic_local_validation,COF,0.9575975583169827,0.45072745806690767,0.8936894909805304,0.4731511483825279,0.5943396226415094,0.7359027862548828
synthetic_local_validation,IForest,0.9375190756485722,0.8529886016124549,0.8792550671908649,0.8109351037527893,0.1717171717171717,0.14798641204833984
synthetic_local_validation,OCSVM,0.9652278177458034,0.8225465665832637,0.9205545737274311,0.8240846159083007,0.1702127659574468,0.16503453254699707
synthetic_local_validation,COPOD,0.9942882057989972,0.7343712352886664,0.9871875777447966,0.7259236792506044,0.2413793103448276,0.03413820266723633
synthetic_local_validation,PCA,0.9541094397209505,0.8459178945417477,0.8735276298631566,0.8435988412381606,0.15104166666666666,0.009421825408935547
synthetic_local_validation,HBOS,0.9872683671244823,0.7440366972477064,0.97442592152635,0.7331350163690974,0.24427480916030533,0.010805130004882812
synthetic_local_validation,MCD,0.8708306082406801,0.68873135019924,0.6306247325344451,0.6578755110606314,0.25,0.45194077491760254
synthetic_local_validation,LODA,0.9020274689339438,0.7288481141692149,0.8279896442364723,0.7348668469276608,0.2198581560283688,0.06161642074584961
synthetic_local_validation,CBLOF,0.9663832570307389,0.7100639421740339,0.8843424835221666,0.7469032748831606,0.2054794520547945,0.45487213134765625
synthetic_cluster_validation,ABOD,1.0,0.7929570938745251,0.9999999999999998,0.8086324334329795,0.19473684210526315,1.2684292793273926
synthetic_cluster_validation,KNN,1.0,0.7567695301640256,0.9999999999999998,0.7741098063983328,0.20987654320987653,0.2757275104522705
synthetic_cluster_validation,LOF,1.0,0.7698359744231305,0.9999999999999998,0.7622857939905331,0.2552083333333333,0.14536023139953613
synthetic_cluster_validation,COF,0.3544582515805538,0.45072745806690767,0.22388139029017703,0.4731511483825279,0.5943396226415094,0.7125117778778076
synthetic_cluster_validation,IForest,1.0,0.8529886016124549,1.0,0.8109351037527893,0.1717171717171717,0.14177632331848145
synthetic_cluster_validation,OCSVM,1.0,0.8225465665832637,1.0,0.8240846159083007,0.1702127659574468,0.0963742733001709
synthetic_cluster_validation,COPOD,1.0,0.7343712352886664,0.9999999999999998,0.7259236792506044,0.2413793103448276,0.03179740905761719
synthetic_cluster_validation,PCA,1.0,0.8459178945417477,0.9999999999999998,0.8435988412381606,0.15104166666666666,0.009157896041870117
synthetic_cluster_validation,HBOS,1.0,0.7440366972477064,0.9999999999999999,0.7331350163690974,0.24427480916030533,0.010569095611572266
synthetic_cluster_validation,MCD,0.9912143012862438,0.68873135019924,0.9317161859259792,0.6578755110606314,0.25,0.4338500499725342
synthetic_cluster_validation,LODA,1.0,0.7352515985543508,0.9999999999999999,0.7478278108948793,0.21476510067114093,0.06999063491821289
synthetic_cluster_validation,CBLOF,1.0,0.7100639421740339,0.9999999999999998,0.7469032748831606,0.2054794520547945,0.45040273666381836
