validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.9569486404833837,0.9546827794561934,0.80608969922667,0.895722402739639,0.29931972789115646,2.310853958129883
real_validation,KNN,0.9460841273530095,0.9376035474125329,0.7895084533422202,0.8712487652642087,0.24817518248175183,0.22166180610656738
real_validation,LOF,0.9407971182895654,0.925835688529383,0.7032929521291773,0.7995035974113824,0.2814814814814815,0.13848304748535156
real_validation,COF,0.5368347664420172,0.5402738524510281,0.17727758055417403,0.3824821064998034,0.5,0.5429682731628418
real_validation,IForest,0.9649082035788984,0.9486161192866193,0.8392423116235219,0.875441066574012,0.2553191489361702,0.13605928421020508
real_validation,OCSVM,0.9634557285614688,0.9559740766007212,0.8375540564401919,0.8958086018201608,0.2684563758389262,0.08138918876647949
real_validation,COPOD,0.9600859865210318,0.9121430659779748,0.7806729342366818,0.7822476241031565,0.26732673267326734,0.1265249252319336
real_validation,PCA,0.9684522426214269,0.96016470129617,0.8420463915462786,0.8999472217188436,0.271523178807947,0.008461236953735352
real_validation,HBOS,0.8893795026725541,0.8242617678588832,0.6518121214670347,0.6852929877963654,0.3425925925925926,1.4446690082550049
real_validation,MCD,0.8786311875435743,0.856032550433681,0.544472012412444,0.6475450526226542,0.32432432432432434,0.41356587409973145
real_validation,LODA,0.9205205670462469,0.9053698469934705,0.662180479637474,0.80489792303585,0.24509803921568626,0.057910919189453125
real_validation,CBLOF,0.9225540320706483,0.9275411753240425,0.7434717324602168,0.8355655422372859,0.2896551724137931,1.4444189071655273
synthetic_local_validation,ABOD,0.9671159656053916,0.9546827794561934,0.8773142191082037,0.895722402739639,0.29931972789115646,1.0538442134857178
synthetic_local_validation,KNN,0.9332442481989309,0.9376035474125329,0.7869075094608488,0.8712487652642087,0.24817518248175183,0.2514944076538086
synthetic_local_validation,LOF,0.9656053915872647,0.925835688529383,0.8721474328388084,0.7995035974113824,0.2814814814814815,0.1440751552581787
synthetic_local_validation,COF,0.9193004880316059,0.5402738524510281,0.6798356151806246,0.3824821064998034,0.5,0.5472631454467773
synthetic_local_validation,IForest,0.8712526144550313,0.9486161192866193,0.6443738496581637,0.875441066574012,0.2553191489361702,0.1362133026123047
synthetic_local_validation,OCSVM,0.8964094817569138,0.9559740766007212,0.705256626773415,0.8958086018201608,0.2684563758389262,0.08047699928283691
synthetic_local_validation,COPOD,0.990413664884964,0.9121430659779748,0.9473350048159468,0.7822476241031565,0.26732673267326734,0.028852462768554688
synthetic_local_validation,PCA,0.8729374854752499,0.96016470129617,0.6671426981224641,0.8999472217188436,0.271523178807947,0.008024930953979492
synthetic_local_validation,HBOS,0.9302811991633745,0.8242617678588832,0.8122779114202011,0.6852929877963654,0.3425925925925926,0.00913095474243164
synthetic_local_validation,MCD,0.830931907971183,0.856032550433681,0.3598961492350119,0.6475450526226542,0.32432432432432434,0.4087221622467041
synthetic_local_validation,LODA,0.8517894492214731,0.932413994737355,0.5375921851818912,0.8320562668242374,0.2647058823529412,0.0638895034790039
synthetic_local_validation,CBLOF,0.9200557750406693,0.9275411753240425,0.7322411569786684,0.8355655422372859,0.2896551724137931,0.4375929832458496
synthetic_cluster_validation,ABOD,1.0,0.9546827794561934,1.0000000000000002,0.895722402739639,0.29931972789115646,1.118598222732544
synthetic_cluster_validation,KNN,1.0,0.9376035474125329,1.0000000000000002,0.8712487652642087,0.24817518248175183,0.2222292423248291
synthetic_cluster_validation,LOF,1.0,0.925835688529383,1.0000000000000002,0.7995035974113824,0.2814814814814815,0.14791584014892578
synthetic_cluster_validation,COF,0.4258075761096909,0.5402738524510281,0.12719121671147682,0.3824821064998034,0.5,0.5794587135314941
synthetic_cluster_validation,IForest,1.0,0.9486161192866193,1.0,0.875441066574012,0.2553191489361702,0.14550065994262695
synthetic_cluster_validation,OCSVM,1.0,0.9559740766007212,1.0,0.8958086018201608,0.2684563758389262,0.12746167182922363
synthetic_cluster_validation,COPOD,1.0,0.9121430659779748,1.0000000000000002,0.7822476241031565,0.26732673267326734,0.029803991317749023
synthetic_cluster_validation,PCA,1.0,0.96016470129617,1.0000000000000002,0.8999472217188436,0.271523178807947,0.008710622787475586
synthetic_cluster_validation,HBOS,1.0,0.8242617678588832,1.0,0.6852929877963654,0.3425925925925926,0.009611368179321289
synthetic_cluster_validation,MCD,0.9939577039274925,0.856032550433681,0.8817142156252203,0.6475450526226542,0.32432432432432434,0.40529918670654297
synthetic_cluster_validation,LODA,1.0,0.8996199200857615,1.0000000000000002,0.7384164229517332,0.32592592592592595,0.06436347961425781
synthetic_cluster_validation,CBLOF,1.0,0.9275411753240425,1.0000000000000002,0.8355655422372859,0.2896551724137931,0.43157315254211426
synthetic_global_validation,ABOD,1.0,0.9546827794561934,1.0000000000000002,0.895722402739639,0.29931972789115646,1.1018354892730713
synthetic_global_validation,KNN,1.0,0.9376035474125329,1.0000000000000002,0.8712487652642087,0.24817518248175183,0.22474932670593262
